"","nombre","code","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif"
"79","EL ROCIO","3208","12a13","aumento","19720","13a14","aumento","46356.752","14a15","aumento","24065.088","15a16","aumento","25730.1728","16a17","aumento","37267.5412","17a18","aumento","29862.166","18a19","aumento","43984.44","19a20","aumento","28529.1894"
"80","EL PEDREGAL II","2640","12a13","disminuyo","-2500","13a14","aumento","23500","14a15","aumento","2500","15a16","se mantuvo","0","16a17","se mantuvo","0","17a18","disminuyo","-2600","18a19","aumento","400","19a20","aumento","12432.0875"
"81","LOS LAURELES SUR ORIENTAL I","1118","12a13","se mantuvo","0","13a14","se mantuvo","0","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","se mantuvo","0","17a18","aumento","75813.4","18a19","aumento","28377.2428571429","19a20","aumento","39931.1071428571"
"82","LISBOA","9254","12a13","se mantuvo","0","13a14","aumento","28500","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","aumento","500","17a18","disminuyo","-10000","18a19","disminuyo","-900","19a20","disminuyo","-700"
"83","EL REFUGIO","8303","12a13","aumento","444349.192307692","13a14","aumento","432317.721923077","14a15","aumento","224346.739615384","15a16","aumento","199268.052307692","16a17","aumento","238466.243461539","17a18","aumento","545042.511923077","18a19","disminuyo","-893490.269230769","19a20","aumento","1369503.57692308"
"84","PALERMO SUR","2535","12a13","aumento","35714.2857142857","13a14","aumento","93142.8571428571","14a15","aumento","35714.2857142857","15a16","aumento","2071.42857142858","16a17","aumento","12928.5714285714","17a18","aumento","45915.8571428572","18a19","aumento","58227","19a20","aumento","50857.1428571428"
"85","JUAN PABLO II","2552","12a13","aumento","19693.152173913","13a14","aumento","33647.9841304348","14a15","aumento","24327.7658695652","15a16","aumento","37874.6368478261","16a17","aumento","90332.4609782609","17a18","aumento","37811.152173913","18a19","aumento","105083.195652174","19a20","aumento","8707.91304347827"
"86","BOLIVIA","5675","12a13","aumento","60637.2272727273","13a14","aumento","123508.303636364","14a15","aumento","195275.105454545","15a16","aumento","40956.8731818182","16a17","aumento","34808.3904545454","17a18","aumento","85541.3727272728","18a19","aumento","38203.3636363636","19a20","aumento","195566.363636364"
"87","LA ESTRELLITA","208203","12a13","se mantuvo","0","13a14","aumento","590.909090909091","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","aumento","21363.6363636364","17a18","aumento","2272.72727272727","18a19","aumento","2272.72727272727","19a20","aumento","909.090909090912"
"88","VITELMA","1103","12a13","aumento","43068.5","13a14","aumento","80318.8275","14a15","aumento","77527.9225","15a16","aumento","40879.9575","16a17","aumento","81967.7875","17a18","aumento","48254.255","18a19","aumento","75045.75","19a20","aumento","33098.4175"
"89","SAN CRISTOBAL SUR","1108","12a13","aumento","22184.8333333333","13a14","aumento","32419.6452380953","14a15","aumento","53879.5452380952","15a16","aumento","27103.6747619048","16a17","aumento","60286.9664285714","17a18","aumento","11276.6180952381","18a19","aumento","51842.074047619","19a20","aumento","42465.9523809524"
"90","PARDO RUBIO","8208","12a13","aumento","117268.6875","13a14","aumento","606827.624375","14a15","aumento","333538.063125","15a16","aumento","105745.575","16a17","aumento","417057.55","17a18","aumento","138688","18a19","aumento","535912.857142857","19a20","aumento","271801.857142857"
"91","BELLO HORIZONTE","1304","12a13","aumento","80600","13a14","aumento","58533.3333333334","14a15","aumento","195111.111111111","15a16","aumento","78044.4444444444","16a17","aumento","165266.666666667","17a18","aumento","48955.5555555555","18a19","aumento","146288.888888889","19a20","aumento","195000"
"92","RAMAJAL","1307","12a13","aumento","11294.2222222222","13a14","aumento","40674.1433333333","14a15","aumento","45237.5233333333","15a16","aumento","28482.8144444445","16a17","aumento","5802.35277777776","17a18","aumento","16198.8883333333","18a19","aumento","47909.6111111111","19a20","aumento","21242.3888888889"
"93","ALTOS DEL ZIPA","1342","12a13","aumento","5291.66666666666","13a14","aumento","23833.3333333333","14a15","aumento","24291.6666666667","15a16","aumento","14368.75","16a17","aumento","23750","17a18","se mantuvo","0","18a19","aumento","18583.55","19a20","disminuyo","-37455.3"
"94","LAS ACACIAS","8203","12a13","aumento","60727.2727272729","13a14","aumento","660000","14a15","aumento","324564.181818182","15a16","aumento","231629.056363637","16a17","aumento","712459.58","17a18","aumento","93906.7272727275","18a19","aumento","182161","19a20","aumento","738.272727272473"
"95","MARIA CRISTINA","8205","12a13","aumento","31393.8863636363","13a14","aumento","321298.246136364","14a15","aumento","92945.2765909091","15a16","aumento","76668.6943181818","16a17","aumento","184332.489318182","17a18","disminuyo","-96811.0018181818","18a19","aumento","26758.8181818182","19a20","aumento","408944.5"
"96","BRISAS DEL VOLADOR","2587","12a13","aumento","6024.95","13a14","aumento","29126.34625","14a15","disminuyo","-299.996249999997","15a16","aumento","3490.98125","16a17","aumento","109866.4435","17a18","aumento","17417.15025","18a19","aumento","79357.975","19a20","aumento","17141.15"
"97","BOSQUE DE PINOS I","8536","12a13","aumento","345311.384615385","13a14","aumento","365990.725384616","14a15","aumento","273879.274615385","15a16","aumento","506460.046153846","16a17","aumento","33045.8323076926","17a18","aumento","240241.390769231","18a19","disminuyo","-152816.538461538","19a20","aumento","65220.5"
"98","ARRAYANES I","2601","12a13","disminuyo","-1058.38888888889","13a14","aumento","39275.5512962963","14a15","aumento","4216.54129629629","15a16","aumento","15456.0205555556","16a17","aumento","6668.7237037037","17a18","aumento","973.514999999999","18a19","aumento","53571.7407407407","19a20","disminuyo","-3453.0124074074"
"99","ISMAEL PERDOMO","2414","12a13","aumento","28636.3636363636","13a14","aumento","36822.4243181818","14a15","aumento","22490.2575","15a16","aumento","44868.9520454546","16a17","aumento","78822.3268181818","17a18","disminuyo","-9235.25613636361","18a19","aumento","15302.0227272727","19a20","disminuyo","-7403.47249999997"
"100","SANTO DOMINGO","2426","12a13","aumento","3548.38709677419","13a14","aumento","11532.2580645161","14a15","aumento","1612.90322580645","15a16","aumento","11129.0322580645","16a17","aumento","26370.9791935484","17a18","aumento","86605.4562903226","18a19","disminuyo","-70664.5322580645","19a20","disminuyo","-85.8091935483826"
"101","EL DORADO","3209","12a13","aumento","9495.61538461539","13a14","aumento","52313.5792307692","14a15","aumento","21015.69","15a16","aumento","19454.9034615385","16a17","aumento","12478.2838461538","17a18","aumento","34583.4665384616","18a19","aumento","28740.9230769231","19a20","aumento","8540.31153846154"
